"Year (time)","Geographic Area Name (NAME)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Meaning of Category (CATEGORY_LABEL)","Item Code (ITEM_CODE)","Meaning of Item Code (ITEM_CODE_LABEL)","Amount ($1,000) (AMOUNT)"
"2014","Rhode Island","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","633"
"2015","Rhode Island","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","3,401"
"2016","Rhode Island","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","3,599"
"2017","Rhode Island","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","6,939"
"2018","Rhode Island","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","197"
"2019","Rhode Island","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","634"
"2020","Rhode Island","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","1,276"
"2021","Rhode Island","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","452"
"2012","South Carolina","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","6,521"
"2013","South Carolina","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","1,811"
"2014","South Carolina","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","1,193"
"2015","South Carolina","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","2,244"
"2016","South Carolina","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","907"
"2017","South Carolina","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","1,727"
"2018","South Carolina","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","755"
"2019","South Carolina","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","1,338"
"2020","South Carolina","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","1,828"
"2021","South Carolina","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","825"
"2012","South Dakota","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","123"
"2013","South Dakota","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","8"
"2014","South Dakota","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","17"
"2015","South Dakota","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","973"
"2016","South Dakota","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","652"
"2017","South Dakota","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","353"
"2018","South Dakota","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","286"
"2019","South Dakota","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","88"
"2020","South Dakota","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","2,860"
"2021","South Dakota","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","2,228"
"2012","Tennessee","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","718"
"2013","Tennessee","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","407"
"2014","Tennessee","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","449"
"2015","Tennessee","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","704"
"2016","Tennessee","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","395"
"2017","Tennessee","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","295"
"2018","Tennessee","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","997"
"2019","Tennessee","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","620"
"2020","Tennessee","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","1,005"
"2021","Tennessee","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","548"
"2012","Texas","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","15,628"
"2013","Texas","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","33,711"
"2014","Texas","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","20,725"
"2015","Texas","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","5,364"
"2016","Texas","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","1,821"
"2017","Texas","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","7,080"
"2018","Texas","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","8,543"
"2019","Texas","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","3,895"
"2020","Texas","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","17,397"
"2021","Texas","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2012","Utah","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2013","Utah","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2014","Utah","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2015","Utah","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2016","Utah","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","165"
"2017","Utah","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2018","Utah","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2019","Utah","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2020","Utah","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2021","Utah","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2012","Vermont","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2013","Vermont","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2014","Vermont","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2015","Vermont","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2016","Vermont","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2017","Vermont","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2018","Vermont","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2019","Vermont","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2020","Vermont","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2021","Vermont","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2012","Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","169"
"2013","Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","978"
"2014","Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","471"
"2015","Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","154"
"2016","Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","27"
"2017","Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","8,110"
"2018","Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","4,329"
"2019","Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","3,073"
"2020","Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","4,668"
"2021","Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","5,357"
"2012","Washington","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","1,413"
"2013","Washington","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","5,239"
"2014","Washington","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","2,015"
"2015","Washington","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","3,935"
"2016","Washington","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","1,818"
"2017","Washington","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","6,644"
"2018","Washington","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","1,449"
"2019","Washington","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","6,906"
"2020","Washington","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","5,901"
"2021","Washington","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","2,488"
"2012","West Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","4,911"
"2013","West Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","95"
"2014","West Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","4,113"
"2015","West Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","1,046"
"2016","West Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","3,069"
"2017","West Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","113"
"2018","West Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","6"
"2019","West Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","1"
"2020","West Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2021","West Virginia","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","58"
"2012","Wisconsin","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2013","Wisconsin","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2014","Wisconsin","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2015","Wisconsin","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2016","Wisconsin","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2017","Wisconsin","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2018","Wisconsin","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2019","Wisconsin","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2020","Wisconsin","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2021","Wisconsin","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2012","Wyoming","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","119"
"2013","Wyoming","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","2,280"
"2014","Wyoming","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","8"
"2015","Wyoming","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","31"
"2016","Wyoming","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","116"
"2017","Wyoming","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","36"
"2018","Wyoming","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","9"
"2019","Wyoming","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","0"
"2020","Wyoming","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","52"
"2021","Wyoming","SF0344","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Construction","State","Expenditure","F62","Capital Expenditures/Construction only (before 2022) - Police Protection","4"
"2012","United States","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","530,370"
"2013","United States","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","557,641"
"2014","United States","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","599,992"
"2015","United States","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","555,345"
"2016","United States","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","516,747"
"2017","United States","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","533,630"
"2018","United States","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","587,513"
"2019","United States","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","603,036"
"2020","United States","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","629,759"
"2021","United States","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","652,667"
"2012","Alabama","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","11,790"
"2013","Alabama","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","13,094"
"2014","Alabama","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","11,568"
"2015","Alabama","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","13,406"
"2016","Alabama","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","9,760"
"2017","Alabama","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","9,858"
"2018","Alabama","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","2,904"
"2019","Alabama","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","4,397"
"2020","Alabama","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","6,884"
"2021","Alabama","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","5,616"
"2012","Alaska","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","1,259"
"2013","Alaska","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","14,663"
"2014","Alaska","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","6,071"
"2015","Alaska","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","1,680"
"2016","Alaska","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","499"
"2017","Alaska","SF0345","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay - Capital Outlay Other Than Construction","State","Expenditure","G62","Other Capital Outlay - Police Protection","1,990"
