"Year (time)","Geographic Area Name (NAME)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Meaning of Category (CATEGORY_LABEL)","Item Code (ITEM_CODE)","Meaning of Item Code (ITEM_CODE_LABEL)","Amount ($1,000) (AMOUNT)"
"2014","Colorado","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","24,211"
"2015","Colorado","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","8,087"
"2016","Colorado","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","10,500"
"2017","Colorado","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","12,112"
"2018","Colorado","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","12,320"
"2019","Colorado","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","10,185"
"2020","Colorado","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","10,615"
"2021","Colorado","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","12,952"
"2022","Colorado","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","3,065"
"2023","Colorado","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","2,346"
"2024","Colorado","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","4,542"
"2012","Connecticut","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","50,921"
"2013","Connecticut","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","133,955"
"2014","Connecticut","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","74,182"
"2015","Connecticut","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","31,372"
"2016","Connecticut","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","38,879"
"2017","Connecticut","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","26,543"
"2018","Connecticut","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","18,394"
"2019","Connecticut","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","26,099"
"2020","Connecticut","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","19,135"
"2021","Connecticut","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","23,738"
"2022","Connecticut","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","24,310"
"2023","Connecticut","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","29,766"
"2024","Connecticut","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","29,895"
"2012","Delaware","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","620"
"2013","Delaware","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","631"
"2014","Delaware","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","631"
"2015","Delaware","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","631"
"2016","Delaware","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","631"
"2017","Delaware","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,504"
"2018","Delaware","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","505"
"2019","Delaware","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","647"
"2020","Delaware","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","674"
"2021","Delaware","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","608"
"2022","Delaware","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","648"
"2023","Delaware","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","668"
"2024","Delaware","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","688"
"2012","Florida","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","2,997"
