"","State","year","count"
"309","Connecticut",1978,3189
"310","Connecticut",1979,4061
"311","Connecticut",1980,4308
"312","Connecticut",1981,5263
"313","Connecticut",1982,5156
"314","Connecticut",1983,5474
"315","Connecticut",1984,5718
"316","Connecticut",1985,6149
"317","Connecticut",1986,6905
"318","Connecticut",1987,7511
"319","Connecticut",1988,8005
"320","Connecticut",1989,9301
"321","Connecticut",1990,10500
"322","Connecticut",1991,10977
"323","Connecticut",1992,11403
"324","Connecticut",1993,13691
"325","Connecticut",1994,14380
"326","Connecticut",1995,14802
"327","Connecticut",1996,16571
"328","Connecticut",1997,17241
"329","Connecticut",1998,17605
"330","Connecticut",1999,18639
"331","Connecticut",2000,18355
"332","Connecticut",2001,19196
"333","Connecticut",2002,20720
"334","Connecticut",2003,19846
"335","Connecticut",2004,19497
"336","Connecticut",2005,19442
"337","Connecticut",2006,20566
"338","Connecticut",2007,20924
"339","Connecticut",2008,20661
"340","Connecticut",2009,19716
"341","Connecticut",2010,19321
"342","Connecticut",2011,18324
"343","Connecticut",2012,17530
"344","Connecticut",2013,17563
"345","Connecticut",2014,16636
"346","Connecticut",2015,15816
"347","Connecticut",2016,14957
"348","Connecticut",2017,14040
"349","Connecticut",2018,13681
"350","Connecticut",2019,12823
"351","Connecticut",2020,9559
"352","Connecticut",2021,9889
"353","District Of Columbia",1978,2864
"354","District Of Columbia",1979,2973
"355","District Of Columbia",1980,3145
"356","District Of Columbia",1981,3479
"357","District Of Columbia",1982,4081
"358","District Of Columbia",1983,4344
"359","District Of Columbia",1984,4521
"360","District Of Columbia",1985,6404
"361","District Of Columbia",1986,6618
"362","District Of Columbia",1987,7645
"363","District Of Columbia",1988,8831
"364","District Of Columbia",1989,9954
"365","District Of Columbia",1990,9947
"366","District Of Columbia",1991,10455
"367","District Of Columbia",1992,10875
"368","District Of Columbia",1993,10845
"369","District Of Columbia",1994,10949
"370","District Of Columbia",1995,9800
"371","District Of Columbia",1996,9376
"372","District Of Columbia",1997,9353
"373","District Of Columbia",1998,9829
"374","District Of Columbia",1999,8652
"375","District Of Columbia",2000,10352
"376","District Of Columbia",2001,NA
"377","District Of Columbia",2002,NA
"378","District Of Columbia",2003,NA
"379","District Of Columbia",2004,NA
"380","District Of Columbia",2005,NA
"381","District Of Columbia",2006,NA
"382","District Of Columbia",2007,NA
"383","District Of Columbia",2008,NA
"384","District Of Columbia",2009,NA
"385","District Of Columbia",2010,NA
"386","District Of Columbia",2011,NA
"387","District Of Columbia",2012,NA
"388","District Of Columbia",2013,NA
"389","District Of Columbia",2014,NA
"390","District Of Columbia",2015,NA
"391","District Of Columbia",2016,NA
"392","District Of Columbia",2017,NA
"393","District Of Columbia",2018,NA
"394","District Of Columbia",2019,NA
"395","District Of Columbia",2020,NA
"396","District Of Columbia",2021,NA
"397","Delaware",1978,1325
"398","Delaware",1979,1419
"399","Delaware",1980,1474
"400","Delaware",1981,1712
"401","Delaware",1982,2068
"402","Delaware",1983,2198
"403","Delaware",1984,2202
"404","Delaware",1985,2553
"405","Delaware",1986,2833
"406","Delaware",1987,2982
"407","Delaware",1988,3197
"408","Delaware",1989,3458
"409","Delaware",1990,3471
"410","Delaware",1991,3717
"411","Delaware",1992,4062
"412","Delaware",1993,4210
"413","Delaware",1994,4466
"414","Delaware",1995,4836
"415","Delaware",1996,5110
"416","Delaware",1997,5435
"417","Delaware",1998,5558
"418","Delaware",1999,6983
"419","Delaware",2000,6921
"420","Delaware",2001,7003
"421","Delaware",2002,6778
"422","Delaware",2003,6794
"423","Delaware",2004,6927
"424","Delaware",2005,6944
"425","Delaware",2006,7186
"426","Delaware",2007,7257
"427","Delaware",2008,7057
"428","Delaware",2009,6775
"429","Delaware",2010,6615
"430","Delaware",2011,6739
"431","Delaware",2012,6914
"432","Delaware",2013,7004
"433","Delaware",2014,6955
"434","Delaware",2015,6654
"435","Delaware",2016,6585
"436","Delaware",2017,6443
"437","Delaware",2018,6067
"438","Delaware",2019,5692
"439","Delaware",2020,4710
"440","Delaware",2021,4810
"441","Florida",1978,21436
"442","Florida",1979,19748
"443","Florida",1980,20735
"444","Florida",1981,23589
"445","Florida",1982,27830
"446","Florida",1983,26334
"447","Florida",1984,26914
"448","Florida",1985,28600
"449","Florida",1986,32237
"450","Florida",1987,32445
"451","Florida",1988,34732
"452","Florida",1989,39999
"453","Florida",1990,44387
"454","Florida",1991,46533
"455","Florida",1992,48302
"456","Florida",1993,53048
"457","Florida",1994,57163
"458","Florida",1995,63879
"459","Florida",1996,63763
"460","Florida",1997,64626
"461","Florida",1998,67224
"462","Florida",1999,69596
"463","Florida",2000,71319
"464","Florida",2001,72404
"465","Florida",2002,75210
"466","Florida",2003,82012
"467","Florida",2004,85533
"468","Florida",2005,89768
"469","Florida",2006,92969
"470","Florida",2007,98219
"471","Florida",2008,102388
"472","Florida",2009,103915
"473","Florida",2010,104306
"474","Florida",2011,103055
"475","Florida",2012,101930
"476","Florida",2013,103028
"477","Florida",2014,102870
"478","Florida",2015,101424
"479","Florida",2016,99974
"480","Florida",2017,98504
"481","Florida",2018,97538
"482","Florida",2019,96009
"483","Florida",2020,81027
"484","Florida",2021,80417
"485","Georgia",1978,11317
"486","Georgia",1979,12106
"487","Georgia",1980,12178
"488","Georgia",1981,12444
"489","Georgia",1982,14405
"490","Georgia",1983,15358
"491","Georgia",1984,15404
"492","Georgia",1985,16262
"493","Georgia",1986,16922
"494","Georgia",1987,18575
"495","Georgia",1988,18787
"496","Georgia",1989,20885
"497","Georgia",1990,22411
"498","Georgia",1991,23743
"499","Georgia",1992,25290
"500","Georgia",1993,27783
"501","Georgia",1994,33425
"502","Georgia",1995,34266
"503","Georgia",1996,35139
"504","Georgia",1997,36505
"505","Georgia",1998,39262
"506","Georgia",1999,42091
"507","Georgia",2000,44232
"508","Georgia",2001,45937
"509","Georgia",2002,47445
"510","Georgia",2003,47208
"511","Georgia",2004,51104
"512","Georgia",2005,48749
"513","Georgia",2006,52792
"514","Georgia",2007,54256
"515","Georgia",2008,52719
"516","Georgia",2009,56986
"517","Georgia",2010,56432
"518","Georgia",2011,55944
"519","Georgia",2012,55457
"520","Georgia",2013,54004
"521","Georgia",2014,52949
"522","Georgia",2015,52193
"523","Georgia",2016,53627
"524","Georgia",2017,53667
"525","Georgia",2018,53647
"526","Georgia",2019,54816
"527","Georgia",2020,47141
"528","Georgia",2021,47010
"529","Hawaii",1978,727
"530","Hawaii",1979,856
"531","Hawaii",1980,985
"532","Hawaii",1981,1207
"533","Hawaii",1982,1461
"534","Hawaii",1983,1700
"535","Hawaii",1984,1965
"536","Hawaii",1985,2111
"537","Hawaii",1986,2180
"538","Hawaii",1987,2264
"539","Hawaii",1988,2300
"540","Hawaii",1989,2459
"541","Hawaii",1990,2533
"542","Hawaii",1991,2700
"543","Hawaii",1992,2926
"544","Hawaii",1993,3129
"545","Hawaii",1994,3333
"546","Hawaii",1995,3560
"547","Hawaii",1996,4011
"548","Hawaii",1997,4978
"549","Hawaii",1998,4924
"550","Hawaii",1999,4903
"551","Hawaii",2000,5053
"552","Hawaii",2001,5431
"553","Hawaii",2002,5423
"554","Hawaii",2003,5828
"555","Hawaii",2004,5960
"556","Hawaii",2005,6146
"557","Hawaii",2006,5967
"558","Hawaii",2007,5978
"559","Hawaii",2008,5955
"560","Hawaii",2009,5891
"561","Hawaii",2010,5912
"562","Hawaii",2011,6037
"563","Hawaii",2012,5831
"564","Hawaii",2013,5632
"565","Hawaii",2014,5866
"566","Hawaii",2015,5879
"567","Hawaii",2016,5602
"568","Hawaii",2017,5630
"569","Hawaii",2018,5375
"570","Hawaii",2019,5279
"571","Hawaii",2020,4171
"572","Hawaii",2021,4102
"573","Iowa",1978,1982
"574","Iowa",1979,2272
