"","year","state","state_name","race_pct","race_count"
"59",1981,"DE","Delaware",0.159741547361621,15974.1547361621
"60",1981,"DC","District of Columbia",0.745258040356302,74525.8040356303
"61",1981,"FL","Florida",0.180615170023165,18061.5170023165
"62",1981,"GA","Georgia",0.213540242775897,21354.0242775897
"63",1981,"HI","Hawaii",0.693357784675765,69335.7784675765
"64",1981,"ID","Idaho",0.010951844425938,1095.1844425938
"65",1981,"IL","Illinois",0.166604808118421,16660.4808118421
"66",1981,"IN","Indiana",0.0795362923834495,7953.62923834495
"67",1981,"IA","Iowa",0.0296567891227775,2965.67891227775
"68",1981,"KS","Kansas",0.0775025857669225,7750.25857669225
"69",1981,"KY","Kentucky",0.0734744274328324,7347.44274328324
"70",1981,"LA","Louisiana",0.28961747231758,28961.747231758
"71",1981,"ME","Maine",0.0106068654076685,1060.68654076685
"72",1981,"MD","Maryland",0.234165652145935,23416.5652145935
"73",1981,"MA","Massachusetts",0.0522185734377834,5221.85734377834
"74",1981,"MI","Michigan",0.141370728869922,14137.0728869922
"75",1981,"MN","Minnesota",0.0358237950739333,3582.37950739333
"76",1981,"MS","Mississippi",0.331061723122304,33106.1723122304
"77",1981,"MO","Missouri",0.11302340386599,11302.340386599
"78",1981,"MT","Montana",0.0461824569334856,4618.24569334856
"79",1981,"NE","Nebraska",0.0501821685762391,5018.21685762391
"80",1981,"NV","Nevada",0.108545240568409,10854.5240568409
"81",1981,"NH","New Hampshire",0.00930447979336674,930.447979336675
"82",1981,"NJ","New Jersey",0.130791295941954,13079.1295941954
"83",1981,"NM","New Mexico",0.154492439902991,15449.2439902991
"84",1981,"NY","New York",0.162837883385608,16283.7883385608
"85",1981,"NC","North Carolina",0.229270919030478,22927.0919030478
"86",1981,"ND","North Dakota",0.0377284125590037,3772.84125590037
"87",1981,"OH","Ohio",0.110957003610662,11095.7003610662
"88",1981,"OK","Oklahoma",0.130190683365851,13019.0683365851
"89",1981,"OR","Oregon",0.0467661419220578,4676.61419220578
"90",1981,"PA","Pennsylvania",0.0985113321732185,9851.13321732185
"91",1981,"RI","Rhode Island",0.0364869265897817,3648.69265897817
"92",1981,"SC","South Carolina",0.329385121909848,32938.5121909848
"93",1981,"SD","South Dakota",0.0813564340931441,8135.64340931441
"94",1981,"TN","Tennessee",0.178850664893327,17885.0664893327
"95",1981,"TX","Texas",0.132822345447296,13282.2345447296
"96",1981,"UT","Utah",0.0274652640144227,2746.52640144227
"97",1981,"VT","Vermont",0.00556881906460955,556.881906460954
"98",1981,"VA","Virginia",0.206433475344221,20643.3475344221
"99",1981,"WA","Washington",0.0801706792683121,8017.06792683121
