"","State","year","tot_pop","incar_rate","tot_crime_rate","violent_crime_rate","prop_crime_rate","pov_rate","non_white_rate","spending_rate"
"151","West Virginia",1982,1951000,79.2926704254229,2507.38083034341,174.525884161968,2332.85494618145,24800,2771.97944145806,10800000
"152","Wisconsin",1982,4733000,99.5985632791042,4469.13162898796,191.781111345869,4277.35051764209,9500,4772.38512812591,26400000
"153","Wyoming",1982,481000,145.945945945946,5013.72141372141,317.463617463617,4696.2577962578,12000,2568.17748408066,3.1e+07
"154","Alabama",1983,3950000,249.518987341772,4110.40506329114,416.987341772152,3693.41772151899,23000,23403.882319669,15600000
"155","Alaska",1983,486000,335.59670781893,5931.89300411523,604.938271604938,5326.95473251029,12600,24011.410584983,68400000
"156","Arizona",1983,2875000,239.617391304348,6587.2,509.286956521739,6077.91304347826,16300,5827.07893253556,28800000
"157","Arkansas",1983,2283000,185.983355234341,3569.55759964958,303.547963206307,3266.00963644328,21500,19470.085200174,11600000
"158","California",1983,25170000,156.428287644021,6678.49821215733,772.709574890743,5905.78863726659,14900,16683.7490703319,29500000
"159","Colorado",1983,3083000,105.22218618229,6747.48621472592,485.0794680506,6262.40674667532,12600,5914.26695083267,24300000
"160","Connecticut",1983,3149000,173.832962845348,4960.4318831375,373.674182280089,4586.75770085741,8800,10224.4645331625,21600000
"161","Delaware",1983,602000,365.116279069767,5502.32558139535,456.146179401993,5046.17940199335,8600,18924.8762555197,23800000
"162","Florida",1983,10850000,242.709677419355,6674.89400921659,813.751152073733,5861.14285714286,14700,16342.4465111636,26700000
"163","Georgia",1983,5581000,275.183658842501,4627.14567281849,469.073642716359,4158.07203010213,18800,26031.877192715,17300000
"164","Hawaii",1983,998000,170.340681362725,5955.11022044088,258.416833667335,5696.69338677355,12900,67777.8443856272,23400000
"165","Idaho",1983,980000,121.122448979592,3901.32653061225,240.918367346939,3660.40816326531,17700,2383.53272715934,16500000
"166","Illinois",1983,11350000,137.400881057269,5607.80616740088,736.819383259912,4870.98678414097,14300,15962.549871633,26600000
"167","Indiana",1983,5382000,172.723894463025,4204.23634336678,288.870308435526,3915.36603493125,16100,8680.17865684957,14300000
"168","Iowa",1983,2828000,99.5049504950495,4025.77793493635,186.067892503536,3839.71004243281,16700,2481.36669971276,1.7e+07
"169","Kansas",1983,2369000,156.395103419164,4636.85099197974,334.27606585057,4302.57492612917,13600,6879.59980164338,16900000
"170","Kentucky",1983,3752000,127.212153518124,3400.02665245203,318.949893390192,3081.07675906183,17900,9404.87517583878,11500000
"171","Louisiana",1983,4360000,293.853211009174,5116.51376146789,652.385321100917,4464.12844036697,21500,29643.1990708455,23500000
"172","Maine",1983,1157000,93.5177182368194,3646.15384615385,158.081244598099,3488.07260155575,12400,1242.91848565128,1.3e+07
"173","Maryland",1983,4112000,306.833657587549,5607.10116731518,844.747081712062,4762.35408560311,8700,24653.7024100733,24400000
"174","Massachusetts",1983,5731000,78.2062467283197,5042.24393648578,580.42226487524,4461.82167161054,7700,3872.76536507124,2.2e+07
"175","Michigan",1983,9056000,160.225265017668,6486.78224381625,717.678886925795,5769.10335689046,16800,12983.2188675506,25600000
"176","Minnesota",1983,4138000,51.0633156114065,4040.04349927501,191.130981150314,3848.9125181247,12100,2899.28468241524,19400000
"177","Mississippi",1983,2481000,225.151148730351,3345.22370012092,292.42241031842,3052.8012898025,27000,34007.2102119595,12500000
"178","Missouri",1983,4837000,167.521190820757,4654.45524085177,490.345255323548,4164.10998552822,16700,11087.4920941545,20100000
"179","Montana",1983,810000,111.481481481481,4684.56790123457,214.444444444444,4470.12345679012,15400,7874.85497276679,18300000
"180","National",1983,231109000,189.02552475239,5239.35891722088,544.369539914067,4694.98937730681,15220.0909527539,286.242561755686,17950000
"181","Nebraska",1983,1577000,103.297400126823,3835.70069752695,220.481927710843,3615.21876981611,15200,3804.15639020138,15800000
"182","Nevada",1983,885000,360.225988700565,6746.77966101695,659.661016949153,6087.1186440678,9700,8577.70124849086,34200000
"183","New Hampshire",1983,938000,51.0660980810235,3431.44989339019,127.931769722815,3303.51812366738,8100,449.08419000725,17500000
"184","New Jersey",1983,7451000,123.365991142129,5175.14427593612,554.341699100792,4620.80257683532,11100,13621.2615713463,29400000
"185","New Mexico",1983,1385000,142.743682310469,6410.32490974729,693.718411552347,5716.60649819495,24500,18291.4278449517,23100000
"186","New York",1983,17580000,173.549488054608,5931.803185438,918.594994311718,5013.20819112628,16000,16740.1765464093,32300000
"187","North Carolina",1983,5890000,261.375212224109,4320.05093378608,422.937181663837,3897.11375212224,15800,26097.6021595249,16400000
"188","North Dakota",1983,685000,59.8540145985401,2655.91240875912,53.2846715328467,2602.62773722628,15000,4294.0418826251,13700000
"189","Ohio",1983,10680000,168.604868913858,4532.96816479401,400.365168539326,4132.60299625468,13400,11534.4853559654,19500000
"190","Oklahoma",1983,3259000,229.51825713409,4988.12519177662,428.474992328935,4559.65019944768,17000,11604.8232262442,1.7e+07
"191","Oregon",1983,2597000,152.175587216018,6407.31613400077,500.038505968425,5907.27762803235,16100,5977.70178032149,22300000
"192","Pennsylvania",1983,11640000,101.091065292096,3265.48969072165,350.360824742268,2915.12886597938,15400,10161.9338651977,18400000
"193","Rhode Island",1983,971000,119.155509783728,4922.96601441813,349.330587023687,4573.63542739444,14500,2387.56681793895,21200000
"194","South Carolina",1983,3295000,290.62215477997,4726.03945371775,611.016691957511,4115.02276176024,20800,35541.0616118541,14100000
"195","South Dakota",1983,689000,119.88388969521,2588.24383164006,121.915820029028,2466.32801161103,18400,6234.88159167913,14900000
"196","Tennessee",1983,4663000,175.873900922153,4030.58117092001,403.945957538066,3626.63521338194,20000,19908.8529552268,14900000
"197","Texas",1983,15590000,226.164207825529,5958.03720333547,516.651699807569,5441.3855035279,16000,13244.2171377967,17800000
"198","Utah",1983,1591000,80.0754242614708,5207.98240100566,260.46511627907,4947.51728472659,13500,4499.81607162456,2e+07
"199","Vermont",1983,531000,93.5969868173258,4086.06403013183,131.073446327684,3954.99058380414,15600,1105.44410824104,1.6e+07
"200","Virginia",1983,5448000,185.260646108664,4035.75624082232,298.017621145374,3737.73861967695,11300,19902.2000789272,1.8e+07
"201","Washington",1983,4274000,155.779129620964,6114.71689284043,374.029012634534,5740.6878802059,10800,6980.23874252333,20900000
"202","West Virginia",1983,1898000,84.8788198103267,2504.37302423604,177.81875658588,2326.55426765016,22100,3140.62447113415,11200000
"203","Wisconsin",1983,4736000,102.30152027027,4269.1722972973,191.511824324324,4077.66047297297,10700,5137.19975993217,25900000
"204","Wyoming",1983,486000,148.353909465021,4245.06172839506,250.82304526749,3994.23868312757,12600,3627.091609745,3.4e+07
"205","Alabama",1984,3875000,270.503225806452,4017.83225806452,443.974193548387,3573.85806451613,19100,22951.8299427754,14800000
"206","Alaska",1984,507000,387.968441814596,6030.76923076923,613.01775147929,5417.75147928994,9600,18740.2072703059,69500000
