,State,year,tot_pop,incar_rate,tot_crime_rate,violent_crime_rate,prop_crime_rate,pov_rate,non_white_rate,spending_rate,incarceration_rate_national
57,Connecticut,1981.0,3084000.0,-1.0050315461500512,1.2937981904274978,0.07661301231259585,1.4209225760087005,-1.2487005210188846,-0.7024931157151183,-0.9951432556395245,-1.0475825891945316
58,Delaware,1981.0,587000.0,-0.3058447769138443,1.932236931454764,0.37257385519948655,2.0778501683162642,-0.15184063873557532,-0.026333152814958686,-0.6730335896861269,-1.0475825891945316
59,Florida,1981.0,10280000.0,-0.665196650737195,2.745086069440804,2.4023685238632266,2.630954727481553,0.9985246036591149,0.13666533579155607,-0.6446121485725919,-1.0475825891945316
60,Georgia,1981.0,5415000.0,-0.663225517544095,1.1933323844650665,0.5830054570626033,1.2227814262614574,0.9182665634920435,0.39377150193118343,-1.383569617524504,-1.0475825891945316
61,Hawaii,1981.0,953000.0,-1.259299975835695,1.8654647696453672,-0.858042063513665,2.214739648431624,-0.41936743929248005,4.140583227174196,-0.8435622363673374,-1.0475825891945316
62,Idaho,1981.0,962000.0,-1.4163164811864835,0.2773227373423945,-0.7272658763623429,0.43202302184610647,1.2928040842717101,-1.1882060625619326,-1.4025172449335275,-1.0475825891945316
63,Illinois,1981.0,11340000.0,-1.261053580979027,1.4735177533495747,1.6858843499171896,1.344331476423803,-0.20534599884695628,0.02726085663946586,-0.38881917855077613,-1.0475825891945316
64,Indiana,1981.0,5431000.0,-1.1376335741763106,0.3150567977441759,-0.44141863571389367,0.42485981063649886,-0.07158259856850392,-0.6526420380391487,-1.5825197053192497,-1.0475825891945316
65,Iowa,1981.0,2815000.0,-1.4430781319749144,0.5202239787414678,-1.0640511620643764,0.7589734371509421,0.062180801709948434,-1.042142402961997,-1.4877815682741327,-1.0475825891945316
66,Kansas,1981.0,2282000.0,-1.2897408076723194,1.0854053672462558,-0.24744052968015484,1.245474474155424,-0.3123567190697182,-0.6685228992647217,-1.449886313456086,-1.0475825891945316
67,Kentucky,1981.0,3668000.0,-1.3621129772635368,-0.4369563957643154,-0.6968695036317517,-0.3648967731008914,1.7208469651627576,-0.6999780870378566,-1.4972553819786443,-1.0475825891945316
68,Louisiana,1981.0,4262000.0,-0.714656781626218,0.8564514238328362,0.9601438326135272,0.7847478057022694,2.4431693266664003,0.9878453545504977,-0.8246146089583141,-1.0475825891945316
69,Maine,1981.0,1116000.0,-1.4775189078596795,0.12428392148448794,-1.1187190187628482,0.3294803621579174,0.8380085233249721,-1.1908999437099568,-1.6393625875463198,-1.0475825891945316
70,Maryland,1981.0,4123000.0,-0.6828337120346258,1.905285062349054,2.2274295380457523,1.730095757623874,-0.5798835196266229,0.5548317361185431,-0.5877692663455217,-1.0475825891945316
71,Massachusetts,1981.0,5804000.0,-1.603972508393861,1.2023940895038157,0.8681309493777603,1.183961325621162,-1.0614317606290513,-0.8659613536424008,-0.7014550307996621,-1.0475825891945316
72,Michigan,1981.0,9096000.0,-1.0282687713439367,2.017579299694843,0.981352958018985,2.0681129351247236,0.03542812165425796,-0.16978767899685446,-0.5025049430049164,-1.0475825891945316
73,Minnesota,1981.0,4034000.0,-1.709544789001994,0.48315704075953836,-0.9638801658452207,0.7007211882877744,-0.5263781595152419,-0.9939853261783058,-1.1940933434342702,-1.0475825891945316
